"M","env.effect","f.i.wt"
"Cotpp",2.2e-10,0
"CPC2MT",0,0
"CPC3MT",0,0
"CPC4MT",0,0
"CPC5MT",0,0
"CPC6MT",0,0
"CPC6R",0,0
"CPC8MM",0,0
"CPGNabcpp",0,0
"CPGNexs",0,0
"CPGNR1",0,0
"CPGNR2",0,0
"CPGNR3",0,0
"CPGNtonex",0,0
"CPGNUtex",0,0
"CPGNUtpp",1.61e-13,0
"CPH4S",0,0
"CPK1",0,0
"CPPPGO",0,0
"CPPPGOAN2",0,0
"CPPPGOAN2_1",0,0
"CRESt2ipp",0,0
"CRNabc",0,0
"CRNabcpp",0,0
"CRNBTCT",0,0
"CRNCAL2",0,0
"CRNCAR",1e-11,0
"CRNCBCT",0,0
"CRNCDH",0,0
"CRNDabcpp",0,0
"CRNDCAL2",0,0
"CRNDt2rpp",0,0
"CRNt2rpp",0,0
"CRNt7",0,0
"CRNt7pp",0,0
"CRNt8pp",0,0
"CRO4abcpp",0,0
"CRO4t3",0,0
"CRO4t3pp",0,0
"CRTNh",0,0
"CRTNsyn",0,0
"CSND",2.49e-10,0
"CSNt2",0,0
"CSNt2pp",0,0
"CSPMDDC",0,0
