Distance,Delta_Growth_Mean,Delta_Growth_Mean_Null,Delta_Growth_SE,Delta_Growth_SE_Null
427,0.0081234953,0.0048963542,0.0013669173,0.0003734447
428,0.008150857,0.0049112536,0.0013670236,0.0003751694
429,0.0082691346,0.0049188007,0.0013714109,0.0003751513
430,0.0082668089,0.0049186015,0.0013713973,0.0003751273
431,0.0082801553,0.0049473171,0.001371329,0.0003750218
432,0.0083179107,0.0049822597,0.0013716287,0.0003762131
433,0.0083393504,0.0049815693,0.0013716114,0.0003761837
434,0.0083146665,0.0049621736,0.0013712877,0.0003749841
435,0.0083140364,0.0049605306,0.0013712731,0.0003748057
436,0.0083212457,0.0049605309,0.0013685443,0.0003748056
437,0.0083061631,0.0049588028,0.0013672743,0.0003746042
438,0.008335502,0.0049589484,0.0013702984,0.000374629
439,0.0083309995,0.0049442002,0.0013699406,0.0003738242
440,0.0083295615,0.0049485732,0.0013699134,0.0003735686
441,0.0083294169,0.0049514766,0.0013699084,0.0003735653
442,0.0083280147,0.0049513214,0.0013698965,0.0003735607
443,0.0082900277,0.0049581464,0.001369577,0.0003734733
444,0.0083005644,0.0049565773,0.0013695694,0.0003733449
445,0.008308266,0.0049622998,0.0013695247,0.0003732151
446,0.0083082653,0.004961965,0.0013695238,0.000373191
447,0.0083303774,0.0049993698,0.0013699087,0.0003745654
448,0.0083306577,0.0050056866,0.0013699146,0.0003744602
449,0.0083207267,0.0050039682,0.0013699034,0.0003743442
